,Sales Package,Model Number,Part Number,Series,Color,Type,Suitable For,Battery Backup,Power Supply,Battery Cell,MS Office Provided,Dedicated Graphic Memory Type,Dedicated Graphic Memory Capacity,Processor Brand,Processor Name,Processor Generation,SSD,SSD Capacity,RAM,RAM Type,HDD Capacity,Processor Variant,Chipset,Memory Slots,Expandable Memory,RPM,Graphic Processor,OS Architecture,Operating System,System Architecture,Mic In,RJ45,USB Port,HDMI Port,Hardware Interface,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Sound Properties,Refresh Rate,Wireless LAN,Bluetooth,Ethernet,Dimensions,Weight,Disk Drive,Web Camera,Finger Print Sensor,Keyboard,Backlit Keyboard,Pointer Device,Included Software,Additional Features,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty,Model Name,Clock Speed,RAM Frequency,Cache,Number of Cores,Multi Card Slot,Sound Chip,Domestic Warranty,Lock Port,Other Accessories,VGA Port,International Warranty,Security Chip,MRP Price,Discount,Discounted_price,Antivirus,Laptop Bag,Optane Memory,Dock Port,RJ11,Read/Write Speed,Stylus Included,Supported Operating System,Wireless WAN,Recovery Options,Face Recognition,NFC Support,EMMC Storage Capacity,Inbuilt 4G LTE,S-video,Firewire Port,Brand
543,"Laptop, Battery, Power Adapter, User Guide",GP65 Leopard 10SEK-830IN,9S7-16U711-830,GP65 Leopard,Black,Gaming Laptop,"Gaming, Processing & Multitasking",,230 W AC Adapter,6 cell,No,GDDR6,6 GB,Intel,Core i7,10th Gen,Yes,256 GB,16 GB,DDR4,1 TB,10750H,,,,,NVIDIA GeForce RTX 2060,64 bit,Windows 10 Home,64,Yes,Yes,"1 x Type-C USB 3.2 (Gen 2), 3 x Type-A USB 3.2 (Gen1)",1 x HDMI (4K at 30Hz),PCIe NVMe,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD IPS Thin Bezel Display (45% NTSC Color Gamut, 144Hz Refresh Rate)",Built-in Dual Speakers,Built-in Microphones,2 x 3 W Speakers,144 Hz,Intel Wi-Fi 6 AX201 (2x2 ax),v5.1,,357.7 x 248 x 27.5,2.33 kg,Not Available,HD Type Webcam (720p at 30fps),,Per Key RGB Steelseries Keyboard,Yes,,"SHIFT, SteelSeries Engine 3, Matrix Display (Extend), Dragon Center, GamingMode, VR Ready, Cooler Boost 5, Nahimic 3, Nahimic VR, Giant Speaker",51 WHr Battery,2 Year Warranty Term for Gaming,Carry-In Warranty,Part Failure,"Physical Damage, Burn, Liquid Spill",GP65 Leopard 10SEK-830IN,2.6 GHz with Turbo Boost Upto 5 GHz,,,,1 x SD (XC/HC) Card Reader,Realtek ALC 233,,,,,,,"44,442",11%,"39,490",,,,,,,,,,,,,,,,,ASUS
544,"Laptop, Power Adaptor, User Guide, Warranty Documents",14q-cs0017tu,7EF82PA#ACJ,14q,Smoke Grey,Thin and Light Laptop,Processing & Multitasking,,65 W AC Adapter,3 cell,Yes,,,Intel,Core i5,8th Gen,No,,8 GB,DDR4,1 TB,8265U,,,Upto 16 GB,5400,Intel Integrated UHD 620,64 bit,Windows 10 Home,64 bit,Yes,Yes,"1 x USB 2.0, 2 x USB 3.1",1 x HDMI Port (v1.4b),SATA,No,35.56 cm (14 inch),1366 x 768 Pixel,HD LED Backlit BrightView Display,Built-in Dual Speakers,Built-in Microphones,,,IEEE 802.11a/b/g/n/ac,v4.2,Integrated 10/100/1000 Gigabit LAN,335 x 234 x 19.9 mm,1.47 kg,Not Available,VGA Webcam,,Full Size Island-style Keyboard,,Multi Gesture Touchpad,"HP Audio Switch, HP Support Assistant, Microsoft Office Home and Student 2019","Li-ion Battery, Miracast Certified",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,1.6 GHz with Turbo Boost Upto 3.9 GHz,2400 MHz,6 MB,4,"3-in-1 Card Reader (SD, SDHC, SDXC)",,1 Year,Kensington MiniSaver Security Lock Slot,,,,,"40,870",4% ,"38,990",,,,,,,,,,Recovery Manager Installer for Windows 10,,,,,,,APPLE
545,"2 in 1 Laptop, Power Adaptor, Active Stylus Pen, User Guide, Warranty Documents",14-dh0101TU,6ZF27PA#ACJ,Pavilion x360,Natural Silver,2 in 1 Laptop,Processing & Multitasking,Upto 10 hours,65 W AC Adapter,3 cell,Yes,,,Intel,Core i3,8th Gen,Yes,256 GB,4 GB,DDR4,,8145U,,,,,Intel Integrated UHD 620,64 bit,Windows 10 Home,64 bit,Yes,,"2 x USB 3.1, 1 x USB 3.1 Type C",1 x HDMI Port (v1.4),,Yes,35.56 cm (14 inch),1920 x 1200 Pixel,Full HD LED Backlit Anti-glare IPS Touch Display,Built-in Dual Speakers,Built-in Dual Array Digital Microphone,"HP Audio Boost 1.0, Bang and Olufsen Play",,IEEE 802.11a/b/g/n/ac,v4.2,,324 x 224 x 20 mm,1.59 kg,Not Available,HD 720P Webcam,,Island-style Backlit Keyboard,,Multi Gesture Touchpad,"HP Audio Switch, HP Support Assistant, Microsoft Office Home and Student 2019",Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,2.1 GHz with Turbo Boost Upto 3.9 GHz,2400 MHz,4 MB,2,"3-in-1 Card Reader (SD, SDHC, SDXC)",,1 Year,Kensington Lock Slot,,,,,"92,900",No-discount,"92,900",McAfee LiveSafe,,,,,,,,,Recovery Manager Installer for Windows 10,,,,,,,HP
546,"Laptop, Power Adaptor, User Guide, Warranty Documents",14q-cy0006AU,7QG88PA#ACJ,14q,Jet Black,Thin and Light Laptop,Processing & Multitasking,,65 W AC Adapter,3 cell,No,,,AMD,APU Dual Core A9,,Yes,256 GB,4 GB,DDR4,,A9-9425,,1 Slot,Non Upgradable,,AMD Radeon R5,64 bit,Windows 10 Home,64 bit,Yes,Yes,"1 x USB 2.0, 2 x USB 3.1",1 x HDMI Port (v1.4b),,No,35.56 cm (14 inch),1366 x 768 Pixel,HD LED Backlit BrightView Display,Built-in Dual Speakers,Built-in Dual Array Microphones,Stereo Speakers,,IEEE 802.11b/g/n,v4.2,Integrated 10/100/1000 Gigabit LAN,335 x 234 x 19.9 mm,1.47 kg,Not Available,HP TrueVision HD Webcam,,Full Size island-style Keyboard,No,Multi Gesture Touchpad,"HP JumpStart, HP Support Assistant, HP Connection Optimizer",Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,3.1 GHz with Turbo Boost Upto 3.7 GHz,1866 MHz,1 MB,2,"3-in-1 Card Reader (SD, SDHC, SDXC)",,1 Year,,,,,,"46,805",9% ,"42,490",,,,,,,,,,Recovery Manager Installer for Windows 10,,,,,,,MSI
547,"Laptop, Battery, Power Adaptor, User Guide,",cs1000tu,6AQ83PA,14S,Natural Silver,Laptop,"Entertainment, Processing & Multitasking, Everyday Use",Upto 7 Hours,65 W EM AC power adapter,3,Yes,,,Intel,Core i5,8th Gen,No,,8 GB,DDR4,1 TB,8265U,Intel® Core™ i5-8265U,,Upto 16 GB,5400,Intel Integrated 620,64 bit,Windows 10 Home,64 Bit,Yes,Yes,1 USB 3.1 Type-C™ Gen 1 (Data Transfer up to 5 Gb/s); 2 USB 3.1 Gen 1 (Data transfer only),1 HDMI 1.4b.,SATA,No,35.56 cm (14 inch),1920 x 1080 pixel,"14"" diagonal FHD IPS BrightView micro-edge WLED-backlit (1920 x 1080)",IN Built Dual Speakers,Dual Array Digital Microphone,HP Audio Boost,,802.11b/g/n (1x1) Wi-Fi®,Bluetooth® 4.2 combo,Integrated 10/100/1000 GbE LAN,32.4 x 22.59 x 1.99 cm,1.43 kg,Not Available,HP True Vision HD Camera 720p by 30fps,No,Full-size island-style keyboard,No,Touchpad with multi-touch gesture support,MS OFFICE Home & Student 2019,,1 Year Warranty,Onsite,Parts & Labour,Physicall Damage,14s-cs1000tu,1.6 GHz with Turbo Boost Upto 3.9 GHz,2400 MHz,6 MB,4,1 multi-format SD media card reader,,1 Year,,,No,,,"87,990",17%,"72,990",McAfee LiveSafe (30 Days Trial),No,,,,,,Wndows 10,,,No,No,,,,,ASUS
548,"Main Laptop, Pweor cable-adaptopr, Manual",E410MA-EK321T,E410MA-EK321T,E410,White,Laptop,Processing & Multitasking,Standard,,,No,,,Intel,Pentium Quad Core,,Yes,256 GB,4 GB,DDR4,,,,,,,Intel Integrated NVIDIA Geforce Intel UHD Graphics 605,,Windows 10,,,,,,,No,35.56 cm (14 inch),1920 x 1080$$pixel pixel,,,,,,,4.1,,,,Not Available,,,,,,Windows 10 Home,,1 year onsite global,onsite Global,Manufacturing Defects only,Physical Damage,E410MA-EK321T,,,,,,,,,,,,,"67,990",26%,"49,990",,,,,,,,Windows 10 Home,,Yes,,Yes,,,,,HP
549,"Laptop, Battery, Power Adaptor, User Guide",Modern 14 B10MW-423IN,9S7-14D114-423,Modern 14,Carbon Grey,Laptop,Processing & Multitasking,,65 W AC Adapter,3 cell,No,,,Intel,Core i5,10th Gen,Yes,512 GB,8 GB,DDR4,,10210U,,,,,Intel Integrated UHD,64 bit,Windows 10 Home,64 bit,Yes,,"1 x USB 3.2 Type C (2nd Gen), 2 x USB 2.0 Type A",1 x HDMI Port (4K at 30 Hz),NVMe PCIe,No,35.56 cm (14 inch),1920 x 1080 Pixel,Full HD LED Backlit IPS Display (60 Hz Refresh Rate),Built-in Dual Speakers,Built-in Microphones,2 x 2 W Stereo Speakers with Hi-Res Audio,,Intel Wireless-AC 9560 (2x2 a/c),v5.0,,319 x 220 x 16.9 mm,1.3 kg,Not Available,720P HD Webcam (720p at 30 fps),No,Single Backlight White Keyboard,Yes,Touchpad,"Cooler Boost, Nahimic 3, Creator Center","52 WHr Li-ion Battery, Military Grade Durability",1 Year Carry In Warranty,Carry In,Part Failure,"Physical Damage, Burn, Liquid Spill",,1.6 GHz with Turbo Boost Upto 4.2 GHz,2666 MHz,6 MB,4,Micro SD Card Reader,Realtek ALC 233,1 Year,,,,,,"59,990",5% ,"56,990",,,,,,,,,,,,,,,,,ASUS
550,"Laptop, Power Adaptor, User Guide, Warranty Documents",250 G7,1S5F9PA,250,Grey,Business Laptop,Everyday Use,4 to 5 hours,,,No,,,Intel,Core i5,10th Gen,No,,8 GB,DDR4,1 TB,,,,,,Intel Integrated,,Windows 10,,,,,,,No,39.62 cm (15.6 inch),1366 x 768$$pixel pixel,,,,,,,5.0,,,,CD/DVD reader,,,,,,"Microsoft office trail, antivirus trail",,1 year onsite warranty,onsite,"hardware, software issue","breakage, fire",250 G7,,,,,,,,,,,,,"79,990",27%,"57,990",,No,,,,,,all,,yes,,No,,,,,Lenovo
551,"Laptop, Power Adaptor, User Guide, Warranty Documents",NS14A2IN249P,NS14A2IN249P,Liber,Space Grey,Thin and Light Laptop,Processing & Multitasking,Upto 10 hours,,2 cell,No,,,Intel,Core i7,8th Gen,Yes,256 GB,8 GB,DDR4,,8550U,,,,,Intel Integrated UHD 620,64 bit,Windows 10 Home,64 bit,Yes,,"2 x USB 3.0, 1 x USB 3.0 Type C",1 x HDMI Port,SATA,No,35.56 cm (14 inch),1920 x 1080 Pixel,Full HD LED Backlit IPS Display,Built-in Dual Speakers,Built-in Dual Array Microphone,2 x 1 W Stereo Speaker,,IEEE 802.11b/g/n,v4.2,,333 x 222 x 16 mm,1.46 kg,Not Available,HD 720P Webcam,Yes,Island-style Keyboard,Yes,Touchpad,,Li-ion Battery,18 Months Warranty + 6 Months Extended Warranty (6 Months Extended Warranty Upon Online Product Registration on www.avita-india.com),Carry In,Manufacturing Defects,Physical Damage,,1.8 GHz with Turbo Boost Upto 4 GHz,2400 MHz,8 MB,4,Micro SD Card Reader,,18 Months,,,,,,"1,94,990",20%,"1,54,990",,No,,,,,,,,,No,,,,,,HP
552,"Laptop, Power Adaptor, User Guide, Warranty Documents",X509MA-BR270T,90NB0Q31-M10850,Vivobook 15,Transparent Silver,Laptop,Processing & Multitasking,,33 W AC Adapter,2 cell,No,,,Intel,Celeron Dual Core,,Yes,256 GB,4 GB,DDR4,,N4020,,,,,Intel Integrated UHD 600,64 bit,Windows 10 Home,64,Yes,,"2 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A, 1 x USB 3.2 Gen 1 Type-C",1 x HDMI (v1.4),PCIe NVMe,No,39.62 cm (15.6 inch),1366 x 768 Pixels,"HD LED Backlit Anti-Glare Display (200 nits Brightness, 45% NTSC Color Gamut, 83% Screen-to-Body Ratio)",Built-in Speaker,Built-in Microphone,"Audio by ICEpower, SonicMaster, Cortana Support",,Wi-Fi 5(802.11ac) Dual Band (1x1),v4.1,,36.00 x 23.50 x 2.29,1.90 kg,Not Available,VGA Webcam,Yes,Chiclet Keyboard,No,Touchpad,"MyASUS, Link to MyASUS, Splendid, Tru2Life","32 WHr Li-ion Battery, BIOS Booting User Password Protection, Trusted Platform Module (Firmware TPM), Fingerprint sensor intergrated with Touchpad,",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,1.1 GHz wit Turbo Frequency upto 2.8 GHz,,4,2,1 x Micro SD Card Reader,,1 Year,Security Lock,,Yes,1 Year,,"1,49,999",22%,"1,16,990",,No,,,,,No,,Wi-Fi 5(802.11ac),,,,,,,,acer
553,"Laptop, Power Adaptor, User Guide, Warranty Documents",15s-dr2007tx,191F4PA#ACJ,15s,Natural Silver,Laptop,Processing & Multitasking,,,3 cell,Yes,GDDR5,2 GB,Intel,Core i5,10th Gen,Yes,256 GB,8 GB,DDR4,1 TB,1035G1,,,,5400,NVIDIA GeForce MX130,64 bit,Windows 10 Home,64 bit,Yes,Yes,,1 x HDMI Port,SATA,No,39.62 cm (15.6 inch),1366 x 768 Pixel,HD LED Backlit Display,Built-in Dual Speakers,Built-in Microphone,,,Intel Wi-Fi 6 AX 201 (2x2),v5.0,Integrated 10/100/1000 Gigabit LAN,358 x 242 x 19.9 mm,1.83 kg,Not Available,HD Webcam,,Full-size Island-style Keyboard with Numeric Keypad,Yes,Multi-gesture Touchpad,"Microsoft Office Home and Student 2019, Built in Alexa Support",41 WHr Li-ion Battery,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,1.1 GHz with Turbo Boost Upto 3.6 GHz,2666 MHz,6 MB,4,Micro SD Card Reader,,1 Year,,,,,,"72,990",21%,"56,990",,,,,,,,,,,,,,,,,MSI
554,"2 in 1 Laptop, Power Adaptor, User Guide, Warranty Documents",14-dh1181TU,299S7PA#ACJ,Pavilion x360,Mineral Silver,2 in 1 Laptop,Processing & Multitasking,,,3 cell,Yes,,,Intel,Core i3,10th Gen,Yes,256 GB,8 GB,DDR4,,10110U,,,Upto 16 GB,,Intel Integrated UHD,64 bit,Windows 10 Home,64 bit,Yes,,"1 x SuperSpeed USB Type C, 2 x SuperSpeed USB Type A",1 x HDMI Port (v1.4),,Yes,35.56 cm (14 inch),1920 x 1080 Pixel,"Full HD WLED Backlit IPS Micro-edge Multitouch Display (45% NTSC Color Gamut, 250 nits Brightness, 157 PPI, 80.90% Screen to Body Ratio)",Built-in Dual Speakers,Integrated Dual Array Digital Microphone,"Audio by Bang & Olufsen, HP Audio Boost, Built in Alexa Voice Assistant",,Intel Wi-Fi 6 AX 201 (2x2),v5.0,,322 x 223 x 19.7 mm,1.58 kg,Not Available,HP Wide Vision 720p HD Webcam,Yes,Full-size Island-style Natural Silver Backlit Keyboard,Yes,HP Imagepad with Multi-touch Gesture Support,"Microsoft Office Home and Student 2019, HP Audio Switch, HP ePrint, Dropbox, HP Connection Optimizer, HP Support Assistant, HP Recovery Manager, HP Documentation, HP System Event Utility, HP Jumpstart","41 WHr Li-ion Battery, MU-MIMO Supported, Miracast Compatible",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,2.1 GHz with Turbo Boost Upto 4.1 GHz,2666 MHz,4 MB,2,"3-in-1 Card Reader (SD, SDHC, SDXC)",,1 Year,Kensington Lock Slot,,,,,"34,500",8% ,"31,490",,,,,,,,,,,,,,,,,HP
555,"Laptop, Power Adaptor, User Guide, Warranty Documents",PH315-53,NH.QCYSI.008,Predator Helios 300,Black,Gaming Laptop,"Gaming, Processing & Multitasking",Upto 7 hours,230 W AC Adapter,4 cell,No,GDDR6,6 GB,Intel,Octa Core i7,10th Gen,Yes,256 GB,16 GB,DDR4,1 TB,10870H,Mobile Intel HM470 PCH Chipset,2 slots,Upto 32 GB,7200,NVIDIA GeForce RTX 3060,64 bit,Windows 10 Home,64,Yes,Yes,"1 x USB Type-C Port (USB 3.2 Gen 2), 1 x USB 3.2 Gen 2 Port with Power-Off Charging, 2 x USB 3.2 Gen 1 Ports",1 x HDMI,PCIe NVMe,No,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD LED Backlit IPS ComfyView Display (300 nits Brightness, 72% NTSC Color Gamut)",Built-in Speakers,Built-in Dual Microphones,"DTS X : Ultra Audio, Featuring Optimized Bass, Loudness, Speaker Protection with up to 6 Custom Content Modes by Smart Amplifier, Supported in Windows Spatial Sound for PC Gaming with DTS License Integrated, Immersive Audio Rendering Over Headphones and Internal Speakers, Acer Purified Voice Technology with Dual Built-in Microphones. Features Include Far-Field Pickup, Keystroke Suppression, Adaptive Beam Forming, and Pre-Defined Personal and Conference Call Modes, Compatible with Cortana with Voice, Acer TrueHarmony Technology for Lower Distortion, Wider Frequency Range, Headphone-Like Audio and Powerful Sound",144 Hz,Killer Wi-Fi 6 AX1650i,v5.1,"Killer Ethernet E2600, 10/100/1000 Mbps",363.4 x 255 x 22.9,2.3 kg,Not Available,720p HD Webcam,No,FineTip RGB-backlit Keyboard with Independent Standard Numeric Keypad (International Language Support),Yes,Multi-Gesture Touchpad,"PredatorSense, Acer Care Center, Planet9, Acer Product Registration, Quick Access","59 WHr Li-ion Battery, BIOS User, Supervisor Passwords",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,,,,,,,,,,,,,"44,908",2% ,"43,990",,,,,,,,,,,,,,,,,HP
556,"Laptop, Power Adaptor, User Guide, Warranty Documents",14S-ER0003TU,3C465PA#ACJ,14s,Natural Silver,Thin and Light Laptop,Processing & Multitasking,,,3 cell,Yes,,,Intel,Core i5,10th Gen,Yes,256 GB,8 GB,DDR4,1 TB,1035G1,,,Upto 16 GB,5400,Intel Integrated UHD,64 bit,Windows 10 Home,64 bit,Yes,,"2 x SuperSpeed USB Type A (5 Gbps Signaling Rate), 1 x SuperSpeed USB Type C (5 Gbps Signaling Rate)",1 x HDMI Port,,No,35.56 cm (14 inch),1920 x 1080 Pixel,"Full HD WLED Backlit BrightView Display (250 nits Brightness, 45% NTSC Color Gamut, 78.40% Screen to Body Ratio)",Built-in Dual Speakers,Integrated Digital Microphone,,,Intel Wi-Fi 6 AX201 (2x2),v5.0,,324 x 225 x 19 mm,1.51 kg,Not Available,HP TrueVision HD Webcam,,Full-size Island-Style Natural Silver Keyboard with Numeric Keypad,,Touchpad with Multi-touch Gesture Support,"HP Audio Switch, HP Support Assistant, HP Recovery Manager, HP Documentation, HP Sure Connect, HP JumpStart, HP Connection Optimizer, Microsoft Office Home and Student 2019","41 WHr Li-ion Prismatic Battery, Built-in 4G LTE 6 Support",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,1 GHz with Turbo Boost Upto 3.6 GHz,2666 MHz,6 MB,4,"3-in-1 Card Reader (SD, SDHC, SDXC)",,1 Year,,,,,,"45,892",9% ,"41,490",,,,,,,,,,,,,,Yes,,,HP
557,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",82AU004KIN,82AU004KIN,,Phantom Black,Gaming Laptop,Gaming,5.5 hrs,,,No,GDDR6,4 GB,Intel,Core i5,10th Gen,Yes,256 GB,16 GB,DDR4,1 TB,,,,,,NVIDIA GeForce GTX GTX 1650,,Windows 10,,,,,,,No,39.62 cm (15.6 inch),1920 x 1080 pixel,,,,,,,802.11ax,,,,Not Available,,,,,,,,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,Legion 5i,,,,,,,,,,,,,"28,420",3% ,"27,490",,,,,,,,,,,,,,,,,HP
558,"LAPTOP, USER MANUAL, ADAPTOR",S532EQ-BQ502TS,90NB0T52-M00070,Vivobook S15,Silver,Laptop,Processing & Multitasking,UPTO 4 HOURS,65W AC Adapter,"42WHrs, 3S1P, 3-cell Li-ion",Yes,GDDR5,2 GB,Intel,Core i5,11th Gen,Yes,512 GB,8 GB,DDR4,,"Intel® Core™ i5-1135G7 Processor 8M Cache, 2.4 up to 4.20 GHz",,,,,NVIDIA GeForce Geforce MX350,64 bit,Windows 10 Home,64 Bit,,No,"1x USB 3.2 Gen 1 Type-A, 2x USB 2.0 Type-A, 1x Thunderbolt™ 4 supports display / power delivery",1x HDMI 1.4,M.2 NVMe™ PCIe® 3.0,No,39.62 cm (15.6 inch),1920 x 1080 pixel,"15.6-inch, FHD (1920 x 1080) 16:9, Anti-glare display, LED Backlit, NTSC: 45%",Harmon Kardon,Built-in array microphone,,60 Hz,Wi-Fi 6(802.11ax)+Bluetooth 5.0 (Dual band) 2*2,YES,,35.70 x 23.00 x 1.85 mm,1.8 kg,Not Available,HD camera with IR function to support Windows Hello,No,Backlit Chiclet Keyboard with Num-key,Yes,Touch Pad,"Microsoft Office Home and Student 2019, My Asus, Splendid, Tru2Life, Mcafee AntiVirus - 1 Year","ScreenPad™ 2.0 (FHD+ (2160 x 1080) IPS-level Panel), NVIDIA® GeForce® MX350, 2GB GDDR5",ONE YEAR,ONSITE,MANUFACTURE DEFECT,PHUSICAL DAMAGE,S532EQ-BQ502TS,2.4 up to 4.20 GHz,,8MB,4,Micro SD card reader,Audio by ICEpower®,1 Year,,,,1 Year,,"1,79,990",23%,"1,37,990",Mcafee Antivirus - 1 Year,No,,,,,No,,Wi-Fi 6(802.11ax),Yes,Yes,,,,,,ASUS
559,"Laptop, Power Adaptor, User Guide, Warranty Documents",GL65 Leopard 10SEK-465IN,9S7-16U722-465,GL65 Leopard,Black,Gaming Laptop,"Processing & Multitasking, Gaming",,230 W AC Adapter,6 cell,No,GDDR6,6 GB,Intel,Core i7,10th Gen,Yes,256 GB,16 GB,DDR4,1 TB,10750H,,,,,NVIDIA GeForce RTX 2060,64 bit,Windows 10 Home,64 bit,Yes,Yes,"3 x USB 3.2 Type A (1st Gen), 1 x USB 3.2 Type C (2nd Gen)",1 x HDMI Port,,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,Full HD LED Backlit Anti-glare IPS Thin Bezel Display (144 Hz Refresh Rate),Built-in Dual Speakers,Built-in Microphone,"2 x 2 W Speakers, Hi-Res Audio",,Intel Wi-Fi 6 AX201 (2x2 ax),v5.1,Yes,357 x 248 x 27.5 mm,2.3 kg,Not Available,HD Webcam (720p at 30 fps),,Per Key RGB Steelseries Keypad,Yes,Touchpad,"Matrix Display, Dragon Center, Cooler Boost 5, Nahimic 3",51 WHr Li-ion Battery,2 Year Warranty,Carry In,Part Failure,"Physical Damage, Burn, Liquid Spill",GL65 Leopard 10SEK-465IN,2.6 GHz with Turbo Boost Upto 5.0 GHz,2666 MHz,12 MB,6,SD Card Reader,Realtek ALC 233,2 Year,,,,,,"1,45,990",24%,"1,09,990",,,,,,,,,,,,,,,,,MSI
560,"Laptop, Power Adaptor, User Guide, Warranty Documents",14s-CF3028TU,13S65PA,14s,Natural Silver,Thin and Light Laptop,Processing & Multitasking,,,3 cell,Yes,,,Intel,Core i3,10th Gen,Yes,256 GB,8 GB,DDR4,1 TB,1005G1,,,Upto 16 GB,5400,Intel Integrated UHD,64 bit,Windows 10 Home,64 bit,Yes,,"1 x SuperSpeed USB Type C (5 Gbps Signaling Rate), 2 x SuperSpeed USB Type A (5 Gbps Signaling Rate)",1 x HDMI Port (v1.4b),,No,35.56 cm (14 inch),1920 x 1080 Pixel,"Full HD WLED Backlit BrightView Display (250 nits Brightness, 45% NTSC Color Gamut, 157 PPI, 78.40% Screen to Body Ratio )",Built-in Dual Speakers,Integrated Digital Microphone,,,Realtek RTL8821CE 802.11b/g/n/ac (1x1),v4.2,,324 x 225.9 x 19.9 mm,1.51 kg,Not Available,HP TrueVision HD Webcam,,Full-size Island-style Natural Silver Keyboard,,Touchpad with Multi-touch Gesture Support,"HP Audio Switch, HP ePrint, HP Support Assistant, HP Recovery Manager, HP Documentation, HP Sure Connect, HP JumpStart, Microsoft Office Home and Student 2019","41 WHr Li-ion Prismatic Battery with Fast Charge Support, Miracast Compatible",1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage,,1.2 GHz with Turbo Boost Upto 3.4 GHz,2666 MHz,4 MB,2,"3-in-1 Card Reader (SD, SDHC, SDXC)",,1 Year,,,,,,"57,600",11%,"50,990",,,,,,,,,,,,,,,,,acer
561,"Laptop, Power Adaptor, User Guide, Warranty Documents",AN515-55-58EB,NH.Q7NSI.001,Nitro 5,Obsidian Black,Gaming Laptop,"Processing & Multitasking, Gaming",Upto 10 hours,135 W AC Adapter,4 cell,No,GDDR6,4 GB,Intel,Core i5,10th Gen,Yes,256 GB,8 GB,DDR4,1 TB,10300H,Intel HM470,2 Slots,Upto 32 GB,7200,NVIDIA GeForce GTX 1650 Ti,64 bit,Windows 10 Home,64 bit,Yes,Yes,"2 x USB 3.2 (1st Gen), 1 x USB 3.2 Type C (2nd Gen), 1 x USB 3.2 ((2nd Gen) with Power-off Charging)",1 x HDMI Port (v2.0),,No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD LED Backlit ComfyView IPS Display (16:9 Aspect Ratio, 45% NTSC Color Gamut)",Built-in Speakers,Built-in Dual Microphone,"DTS X: Ultra Audio, Acer TrueHarmony Technology",60 Hz,IEEE 802.11a/b/g/n/ac/ax (2x2),v5.0,10/100/1000 Mbps (Killer Ethernet E2600),363.4 x 255 x 23.9 mm,2.3 kg,Not Available,720P HD Webcam (Super High Dynamic Range Imaging (SHDR)),,FineTip RGB Backlit Keyboard with Independent Standard Numeric Keypad (International Language Support),Yes,Multi-gesture Touchpad,"Acer Care Center, Acer Product Registration",57.5 WHr Li-ion Battery,1 Year International Travelers Warranty (ITW),Onsite,Manufacturing Defects,Physical Damage,,2.5 GHz with Turbo Boost Upto 4.5 GHz,2933 MHz,8 MB,4,,,1 Year,Kensington Lock Slot,,,1 Year,,"56,144",10%,"49,990",Norton Internet Security,,,,,,,,,,,,,,,,HP
