Model Number,Model Name,Color,Connectivity,OS,Operating System Version,RAM,Voice Call,Display Size,Sales Package,Display Resolution,Primary Camera,Internal Storage,Processor Speed,Sim Type,Warranty Summary,Display Resolution Type,Display Supported Network,Processor Type,Series,Additional Features,Sim Size,Multi-touch,Sensors,ROM,Battery Capacity,Document Viewer,E-mail,Secondary Camera,Video Recording Resolution,Video Recording,Full HD Recording,HD Recording,Flash,Other Camera Features,2G,3G,Edge,GPRS,Bluetooth Version,USB,Browser,Headphone Jack,Wi-fi Version,Other Connectivity Features,Other Display Features,Display Type,Video Formats Supported,Full HD Playback,HD Playback,Video Playback,Audio Formats Supported,GPS Support,GPS Type,Map Support,Expandable Storage Capacity,Memory Card Slot Type,Memory Card Support,Warranty,Warranty Service Type,Domestic Warranty,Covered in Warranty,Not Covered in Warranty,Warranty Period,Supported Network,Battery Type,Touch Screen Type,Display PPI,Battery Features,RAM Type,Digital Zoom,MRP Price,Discount,Discounted_price,Brand
MXE52HN/A,iPad Pro 2020 (2nd Generation),Silver,Wi-Fi+4G,iPadOS,13.4,6 GB,No,27.94 cm (11 inch),"iPad Pro, USB Type C Charge Cable (1 metre), 18 W USB Type C Power Adapter, User Manual, Warranty Card",2388 x 1668 Pixels,12 Megapixels,256 GB,2.5 GHz,Single Sim,1 Year Limited Hardware Warranty,Full HD,LTE,A12Z Bionic Chip with 64-bit Architecture (Neural Engine) with Embedded M12 Coprocessor,,"Video Calling: FaceTime Video (iPad to Any FaceTime-enabled Device Over Wi-Fi or Mobile Data), Audio Calling: FaceTime Audio (iPad to Any FaceTime-enabled Device Over Wi-Fi or Mobile Data), Quad Audio Speaker, 5 x Studio Quality Microphones for Calls, Video Recording and Audio Recording, Digital Compass, iBeacon Micro Location, Face ID (Enabled by TrueDepth Camera for Facial Recognition, Unlock iPad, Secure Personal Data within Apps, Make Purchases from the iTunes Store, App Store and Apple Books), Siri: Use Voice to Send Messages, Set Reminders and More, Accessibility Includes VoiceOver, Magnifier, Closed Captions, Voice Control, Siri and Dictation, AssistiveTouch, Zoom, Switch Control, Speak Screen, Supports Dolby Vision and HDR10 Content, Supports Apple SIM (eSIM)",,Yes,"Face ID, LiDAR Scanner, Three-axis Gyro, Accelerometer, Barometer, Ambient Light Sensor",256 GB,,Yes,Yes,7 Megapixels,"4K, 1080P, 720P pixels",Yes,Yes,Yes,Yes,"Rear Camera: 12 MP (Wide) + 10 MP (Ultra Wide), F/1.8 Aperture (12 MP), F/2.4 Aperture and 125 Degree Field of View (10 MP), Five Element Lens (Wide and Ultra Wide), Brighter True Tone Flash, Panorama (Upto 63 MP), Sapphire Crystal Lens Cover, Backside Illumination Sensor, Hybrid IR Filter, Autofocus with Focus Pixels (Wide), Tap to Focus with Focus Pixels (Wide), Wide Color Capture for Photos and Live Photos, Exposure Control, Noise Reduction, Smart HDR for Photos, Auto Image Stabilisation, Burst Mode, Timer Mode, Photo Geotagging, Image Formats Captured: HEIF and JPEG, Slow‑motion Video Support for 1080p at 120 fps or 240 fps (Wide) and 240 fps (Ultra Wide), Time Lapse Video with Stabilisation, Continuous Autofocus Video, Video Geotagging, Video Formats Captured: HEVC and H.264, Front Camera: Animoji and Memoji, Portrait Mode, Portrait Lighting, Retina Flash, F/2.2 Aperture, Smart HDR, Auto Image Stabilisation, Burst Mode, Exposure Control, Timer Mode, Wide Color Capture for Photos and Live Photos",Yes,Yes,Yes,Yes,v5.0,"Yes, USB Type C",Safari,,802.11ax (Wi-Fi 6),"Bluetooth Support, 2.4 GHz and 5 GHz Dual Band Wireless Connectivity, HT80 with MIMO","LED Backlit Multi Touch Liquid Retina Display with Fingerprint Resistant Oleophobic Coating Fully Laminated Display, ProMotion Technology, Wide Color Display (P3), True Tone Display, 600 nits Brightness, Anti-reflective Coating, 1.8% Reflectivity",IPS,"H.264 Video Upto 4K, 30 Frames Per Second, High Profile Level 4.2 with AAC‑LC Audio Upto 160 Kbps, 48 kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48 kHz, Stereo or Multichannel Audio in .m4v, .mp4 and .mov File Formats, MPEG-4 Video Upto 2.5 Mbps, 640 x 480 Pixels, 30 Frames Per Second, Simple Profile with AAC‑LC Audio Upto 160 Kbps Per Channel, 48 kHz, Stereo Audio or Dolby Audio Upto 1008 Kbps, 48 kHz, Stereo or Multichannel Audio in .m4v, .mp4 and .mov File Formats, Motion JPEG (M‑JPEG) Upto 35 Mbps, 1280 x 720 Pixels, 30 Frames Per Second, Audio in Ulaw, PCM Stereo Audio in .avi File Format",Yes,Yes,Yes,"AAC (8 to 320 Kbps), Protected AAC (from iTunes Store), HE-AAC, MP3 (8 to 320 Kbps), MP3 VBR, Dolby Digital (AC-3), Dolby Digital Plus (E-AC-3), Dolby Atmos, Audible (Formats 2, 3, 4, Audible Enhanced Audio, AAX and AAX+), Apple Lossless, AIFF and WAV",Yes,"A-GPS, GLONASS",Maps,,,No,1 Year,Carry In,1 Year,Manufacturing Defects,Physical Damage,1 Year,"4G LTE, WCDMA, GSM",Lithium Polymer,,264 PPI,,,5x,"13,500",29%,"9,499",Lenovo
Slate SLP9KB with Trackpad,"Slate SLP9KB with Trackpad Keyboard 4G Calling Tablet PC with Glass Touch Screen, Volte, Dual SIM Slots, Octa Core CPU, GPS, Bluetooth",Grey,Wi-Fi+4G,Android,9.0 Pie,4 GB,Yes,25.65 cm (10.1 inch),"1 Pc Device, 1 Pc Carry Case with Keyboard and Trackpad Mouse, 1 Pc Charging power adapter, 1 Pc Type C USB Cable, 1 Pc Type C OTG Cable, 1 SimCard Tray Eject Pin, Documentation",1920 x 1200$$pixel pixels,13 megapixels,64 GB,2.8 GHz,Dual Sim,Device: 6 Months Accessories: 3 Months,Full HD,"2G, 3G, and 4G VOLTE",Octa Core,SLP,"Keyboard, Mouse with Carry Case and Kickstand, 2.5D Corning Glass + Glass Capacitive Touchscreen, 28 nm HPC+ (High-Performance Computing) Octa-core ARM Cortex™ A55 Processor @ 2.8 GHz (1.6GHz + 1.2GHz), VOLTE and LTE Supported - Supports Reliance Jio 4G SIM Cards and other Indian 4G network providers, Voice Calling via 4G, 3G & 2G SIM Card, Dual Box Type Speakers, Inbuilt GPS Chip and Antenna, Inbuilt FM Radio, Bluetooth 5.0 Connectivity, 2.4GHz and 5GHz DualBand WiFi Connectivity, TypeC USB Port, WiFi HotSpot Tethering, USB Internet Sharing (Internet from PC), Bluetooth Tethering, OTG Support, Supports 480p, 720p and 1080p HD Videos",,,,,5020 mAh,,,5 megapixels,,Yes,,,LED Flash,,Yes,Yes,,Yes,,,,,,,"10.1 Inch IPS 1920*1200 pixels HD LCD Display (400 NITS Brightness), Support for display of multiple languages and characters simultaneously",LPDDR4 RAM,,,,,,Yes,,,512 GB,,Yes,,Onsite (Free pickups and deliveries),6 Months,(Against Manufacturing Defects),"Physical damages, Water Damages, Moisture Damages, Seal Tampering & Burnout Cases",,4G VoLTE,Rechargeable Polymer Battery,2.5D Corning Glass + Glass Capacitive Touchscreen,-1 ppi,,,,"14,000",28%,"9,999",Lenovo
9026T-2EFKIN4,A3 10,Black,Wi-Fi+4G,Android,7.0 (Nougat),3 GB,Yes,25.65 cm (10.1 inch),"Tablet, Charger, USB Data Cable, Quick Start Guide, Warranty Card",1280 x 800 Pixels,8 Megapixels,32 GB,1.1 GHz,Single Sim,"1 Year on Tablet, 6 Months on Accessories",HD,LTE,MT8735B Quad Core Processor,,"FM Radio, 21 Languages Support, Dual Speaker",Micro SIM,Yes,G-Sensor,32 GB,4600 mAh,Yes,Yes,5 Megapixels,,Yes,,,,Face Beauty,Yes,Yes,Yes,Yes,v4.2,"Yes, Micro USB 2.0",Android,3.5 mm,802.11 b/g/n,"Bluetooth Support, OTG Support",HD LED Backlit Display with IPS Technology,IPS,MP4,,Yes,Yes,MP3,Yes,A-GPS,Google Maps,128 GB,microSD,Yes,12 Months,Carry In,,Manufacturing Defects,Physical Damage,12 Months,"4G VoLTE, WCDMA, GSM",Li-ion Polymer,Capacitive,,,,,"56,282",11%,"49,590",Lenovo
KOB-L09,MediaPad T3,Luxurious Gold,Wi-Fi+4G,Android,7.0 (Nougat),2 GB,Yes,20.32 cm (8 inch),"Tablet, Charger, USB Data Cable, Quick Start Guide, Warranty Card",1280 x 800 Pixels,5 Megapixels,16 GB,1.4 GHz,Single Sim,"1 Year on Tablet, 6 Months on Accessories",HD,LTE,Qualcomm MSM8917 Quad Core Processor,,,Nano SIM,Yes,"Accelerometer, Proximity Sensor",16 GB,4800 mAh,Yes,Yes,2 Megapixels,,Yes,,,,,Yes,Yes,,,v4.1,"Yes, Micro USB",Android,3.5 mm,802.11 b/g/n,Bluetooth Support,,IPS,MP4,,,Yes,MP3,Yes,A-GPS,Google Maps,128 GB,microSD,Yes,12 Months,Carry In,,Manufacturing Defects,Physical Damage,12 Months,"GSM, WCDMA, 4G LTE",Li-ion Polymer,Capacitive,,,,,"7,999",27%,"5,799",Lenovo
MHNL3HN/A,iPad Pro 2021 (5th Generation),Silver,Wi-Fi Only,iPadOS,14,8 GB,No,32.77 cm (12.9 inches),"iPad Pro, USB-C Charge Cable (1 metre), 20W USB-C Power Adapter",2732 x 2048 Pixels,12 Megapixels,512 GB,,No Sim,1 Year Warranty,Quad HD,,,,"FaceTime Video, Centre Stage, iPad to any FaceTime-Enabled Device over Wi-Fi or Cellular, FaceTime Audio, Four Speaker Audio, Five Studio-Quality Microphones for calls, Video Recording and Audio Recording, Enabled by TrueDepth Camera for Facial Recognition, Unlock iPad, Secure Personal Data within Apps, Make purchases from the iTunes Store and the App Store, Use your voice to Send Messages, Set Reminders and more, Get Proactive Suggestions, Use Hands-Free, Listen to and identify Songs, Built-in 40.88-Watt-Hour Rechargeable Battery, VoiceOver, Magnifier, Closed Captions, Voice Control, Siri and Dictation, AssistiveTouch, Zoom, Switch Control, Speak Screen, Apple Pencil, Magic Keyboard, Next Level Performance",,Yes,"Face ID Sensor, LiDAR Scanner Sensor, Three-Axis Gyro Sensor, Accelerometer Sensor, Barometer Sensor, Ambient Light Sensor",512 GB,,Yes,Yes,12 Megapixels,,Yes,Yes,Yes,Rear Camera - Brighter True Tone flash | Front Camera - Retina Flash,"Pro Camera System: Wide and Ultra Wide cameras, Wide: 12MP, f/1.8 Aperture, Ultra Wide: 10MP, f/2.4 Aperture and 125 degree Field of view, 2x Optical Zoom out, Digital Zoom up to 5x, Five-Element Lens (Wide and Ultra Wide), Brighter True Tone flash, Panorama (up to 63MP), Sapphire Crystal Lens Cover, Autofocus with Focus Pixels (Wide), Smart HDR 3, Wide Colour Capture for Photos and Live Photos, Lens Correction (Ultra Wide), Advanced Red-Eye Correction, Photo Geotagging, Auto Image Stabilisation, Burst mode, Image Formats Captured: HEIF and JPEG, 12MP Ultra Wide camera, 122 degree field of view, f/2.4 aperture, Portrait mode with advanced bokeh and Depth Control, Portrait Lighting with six effects (Natural, Studio, Contour, Stage, Stage Mono, High-Key Mono), Animoji and Memoji, Smart HDR 3, 1080p HD video recording at 25 fps, 30 fps or 60 fps, Time-lapse video with stabilisation, Extended dynamic range for video up to 30 fps, Cinematic video stabilisation (1080p and 720p), Wide colour capture for photos and Live Photos, Lens correction, Retina Flash, Auto image stabilisation, Burst mode",,,,,v5.0,Type C USB,,,802.11 ax (2.4 GHz | 5 GHz) Wi-Fi 6,HT80 with MIMO,"Quad HD LED Backlit Multi-touch IPS Display, Promotion Technology, Wide Color Display, True Tone Display, Fully Laminated Display, Antireflective Coating, Fingerprint-resistant Oleophobic Coating",Liquid Retina XDR Display,"HEVC, H.264, MPEG-4 Part 2, Motion JPEG, HDR with Dolby Vision, HDR10 and HLG",Yes,Yes,Yes,"AAC-LC, HE-AAC, HE-AAC v2, Protected AAC, MP3, Linear PCM, Apple Lossless, FLAC, Dolby Digital (AC-3), Dolby Digital Plus (E-AC-3), Dolby Atmos and Audible (formats 2, 3, 4, Audible Enhanced Audio, AAX and AAX+), Spatial Audio Playback, User-Con?gurable Maximum Volume Limit",,,Maps,,,,1 Year,,,,,1 Year,,Lithium Polymer,Multi-Touch,264 PPI,"Up to 10 hours of Surfing the Web on Wi-Fi or Watching Video, Charging Via Power Adapter or USB-C to Computer System",,Yes,"24,844",11%,"21,990",Coolpad
MV0Q2HN/A,iPad Air,Gold,Wi-Fi+4G,iOS,12,,No,26.67 cm (10.5 inch),"iPad Air, Lightning to USB Cable, USB Power Adapter, User Manual, Warranty Card",2224 x 1668 Pixels,8 Megapixels,256 GB,,Single Sim,1 Year Manufacturer Warranty for Device and In-box Accessories Including Battery from the Date of Purchase,Full HD,LTE,"A12 Bionic Chip, 64-bit Architecture with Neural Engine and Embedded M12 Co-processor",,Built-in Stereo Speakers,Nano SIM,Yes,"Touch ID, 3-axis Gyro, Accelerometer, Barometer, Ambient Light Sensor",256 GB,,Yes,Yes,7 Megapixels,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,v5.0,Lightning Connector,Safari,3.5 mm,802.11 a/b/g/n/ac,"Bluetooth Support, 2.4 GHz and 5 GHz Dual Band Wireless Connectivity","LED Backlit Multi Touch Display, Wide Color Display (P3), Fingerprint Resistant Oleophobic Coating True Tone Fully Laminated Display, Anti-reflective Coating, 500 nits Brightness, Supports Apple Pencil",,"AAC (8 to 320 Kbps), Protected AAC (from iTunes Store), HE-AAC, MP3 (8 to 320 Kbps), MP3 VBR, Dolby Digital (AC-3), Dolby Digital Plus (E-AC-3), Audible (Formats 2, 3, 4, Audible Enhanced Audio, AAX, and AAX+), Apple Lossless, AIFF, and WAV",Yes,Yes,Yes,"H.264, MPEG-4, M4V, MP4, MOV, M-JPEG, AVI",Yes,"A-GPS, GLONASS",Maps,,,No,1 Year,Carry In,,Manufacturing Defects,Physical Damage,1 Year,"GSM, WCDMA, 4G LTE",Lithium Polymer,,264 PPI,,,,"37,900",No-discount,"37,900",SAMSUNG
MP2H2HN/A,iPad,Space Grey,Wi-Fi Only,iOS,10,,No,24.64 cm (9.7 inch),"iPad, Lightning to USB Cable, USB Power Adapter, User Manual, Warranty Card",2048 x 1536 Pixels,8 Megapixels,128 GB,,Dual Sim,"1 Year on Tablet, 6 Months on Accessories",Full HD,,A9 Chip with 64-bit Architecture with Embedded M9 Co-processor,,"Built-in Stereo Speakers, Digital Compass, Fingerprint Identity Sensor Built into the Home Button, Siri, Operating Ambient Temperature: 0 Degree to 35 Degree C, Non-operating Temperature: -20 Degree to 45 Degree C, Relative Humidity: 5% to 95% Non-condensing, Operating Altitude: Tested Upto 3000 Metres (10000 Feet)",,Yes,"Touch ID, Three-axis Gyro, Accelerometer, Barometer, Ambient Light Sensor",128 GB,,Yes,Yes,1.2 Megapixels,1920 x 1080 pixels,Yes,Yes,Yes,,"Rear Camera: Autofocus, Panorama, HDR, Exposure Control, Burst Mode, Tap to Focus, Timer Mode, f/2.4 Aperture, Five-element Lens, Hybrid IR Flter, Backside Illumination, Auto Image Stabilisation, Face Detection, Photo Geotagging, Video Image Stabilisation, Slow Motion (120 fps), 3x Video Zoom, Video Geotagging, Front Camera: F/2.2 Aperture, 720p HD Video Recording, Backside Illumination, Face Detection, Burst Mode, Exposure Control, Timer Mode",No,No,,,v4.2,"Yes, Lightning to USB",Safari,3.5 mm,802.11 a/b/g/n/ac,"Bluetooth Support, Lightning","LED Backlit Display with IPS Technology, Fingerprint-resistant Oleophobic Coating",Retina Display,"MPEG‑4, H.264, MP4, Mov",,,Yes,"AAC, MP3, AIFF, WAV",Yes,"A-GPS, GLONASS",Maps,,,No,,Carry In,,Manufacturing defects,Physical Damage,,,Lithium Polymer,,264 ppi,,,,"3,990",No-discount,"3,990",IKall
SM-T285NZWSINS,Galaxy Tab A,White,Wi-Fi+4G,Android,5.1 (Lollipop),1.5 GB,Yes,17.78 cm (7 inch),"Tablet, Battery, AC Power Adapter, USB Cable, User Manual, Warranty Card",1280 x 800 Pixels,5 Megapixels,8 GB,1.5 GHz,Single Sim,"1 Year on Tablet, 6 Months on Accessories",HD,LTE,Qualcomm Snapdragon Quad Core Processor,,"FM Radio, Applications: Kids Mode 4.0, Smart Switch",Micro SIM,Yes,Accelerometer,8 GB,4000 mAh,Yes,Yes,2 Megapixels,,Yes,,,,Auto Focus Rear Camera,Yes,Yes,,,v4.0,"Yes, Micro USB 2.0",Android,3.5 mm,802.11 b/g/n,"Bluetooth Support, Wi-Fi Direct",LED Backlit TFT Display,TFT,MP4,,,Yes,MP3,Yes,"A-GPS, GLONASS",Google Maps,200 GB,microSD,Yes,1 Year,Carry In,,Manufacturing Defects,Physical Damage,1 Year,"4G VoLTE, WCDMA, GSM",Lithium Polymer,,,,,,"37,900",,"37,867",APPLE
MUQX2HN/A,ipad Mini (2019),Silver,Wi-Fi Only,iOS,12,,No,20.07 cm (7.9 inch),"iPad Mini, Lightning to USB Cable, USB Power Adapter, User Manual, Warranty Card",2048 x 1536 Pixels,8 Megapixels,64 GB,,No Sim,1 Year Manufacturer Warranty for Device and In-box Accessories Including Battery from the Date of Purchase,Full HD,,"A12 Bionic Chip, 64-bit Architecture with Neural Engine and Embedded M12 Co-processor",,Built-in Stereo Speakers,,Yes,"Touch ID, 3-axis Gyro, Accelerometer, Barometer, Ambient Light Sensor",64 GB,,Yes,Yes,7 Megapixels,,Yes,Yes,Yes,,,No,No,Yes,Yes,v5.0,Lightning Connector,Safari,3.5 mm,802.11 a/b/g/n/ac,"Bluetooth Support, 2.4 GHz and 5 GHz Dual Band Wireless Connectivity","LED Backlit Multi Touch Display, Wide Color Display (P3), Fingerprint Resistant Oleophobic Coating True Tone Fully Laminated Display, Anti-reflective Coating, 500 nits Brightness, Supports Apple Pencil",,"AAC (8 to 320 Kbps), Protected AAC (from iTunes Store), HE-AAC, MP3 (8 to 320 Kbps), MP3 VBR, Dolby Digital (AC-3), Dolby Digital Plus (E-AC-3), Audible (Formats 2, 3, 4, Audible Enhanced Audio, AAX, and AAX+), Apple Lossless, AIFF, and WAV",Yes,Yes,Yes,"H.264, MPEG-4, M4V, MP4, MOV, M-JPEG, AVI",Yes,"A-GPS, GLONASS",Maps,,,No,1 Year,Carry In,,Manufacturing Defects,Physical Damage,1 Year,,Lithium Polymer,,326 PPI,,,,"45,000",33%,"29,999",Lenovo
N8,N8,Black,Wi-Fi+3G,Android,4.4.2 (KitKat),512 MB,Yes,17.78 cm (7 inch),"Tablet, Charger, User Manual",1024 x 600 Pixels,2 Megapixels,8 GB,1.2 GHz,Dual Sim,1 YEAR Warranty Against Manufacturing Defects,,GSM + WCDMA,,,,,,,,2800 mAh,,,0.3 Megapixels,,,,,,,Yes,Yes,,Yes,,,,3.5 mm,,,,,,,,,,,,,32 GB,,Yes,,Customer needs to call on number:-01204731048.,1 Year,,,,"GSM, WCDMA",Li-Ion,,,,,,"29,900",No-discount,"29,900",Lenovo
N8,N8,White,Wi-Fi+3G,Android,4.4.2 (KitKat),512 MB,Yes,17.78 cm (7 inch),"Tablet, Charger, User Manual",1024 x 600 Pixels,2 Megapixels,8 GB,1.2 GHz,Dual Sim,1 Year Manufacturer Warranty,,GSM + WCDMA,,,,,,"Light Sensor, G-Sensor",,2800 mAh,,,0.3 Megapixels,,,,,,,Yes,Yes,,Yes,,,,3.5 mm,,,,,,,,,,,,,32 GB,,,,Customer needs to call on number:-01204731048.,1 Year,,,,"GSM, WCDMA",Li-Ion,,,,,,"39,000",39%,"23,499",HP
MV0F2HN/A,iPad Air,Gold,Wi-Fi+4G,iOS,12,,No,26.67 cm (10.5 inch),"iPad Air, Lightning to USB Cable, USB Power Adapter, User Manual, Warranty Card",2224 x 1668 Pixels,8 Megapixels,64 GB,,Single Sim,1 Year Manufacturer Warranty for Device and In-box Accessories Including Battery from the Date of Purchase,Full HD,LTE,"A12 Bionic Chip, 64-bit Architecture with Neural Engine and Embedded M12 Co-processor",,Built-in Stereo Speakers,Nano SIM,Yes,"Touch ID, 3-axis Gyro, Accelerometer, Barometer, Ambient Light Sensor",64 GB,,Yes,Yes,7 Megapixels,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,v5.0,Lightning Connector,Safari,3.5 mm,802.11 a/b/g/n/ac,"Bluetooth Support, 2.4 GHz and 5 GHz Dual Band Wireless Connectivity","LED Backlit Multi Touch Display, Wide Color Display (P3), Fingerprint Resistant Oleophobic Coating True Tone Fully Laminated Display, Anti-reflective Coating, 500 nits Brightness, Supports Apple Pencil",,"AAC (8 to 320 Kbps), Protected AAC (from iTunes Store), HE-AAC, MP3 (8 to 320 Kbps), MP3 VBR, Dolby Digital (AC-3), Dolby Digital Plus (E-AC-3), Audible (Formats 2, 3, 4, Audible Enhanced Audio, AAX, and AAX+), Apple Lossless, AIFF, and WAV",Yes,Yes,Yes,"H.264, MPEG-4, M4V, MP4, MOV, M-JPEG, AVI",Yes,"A-GPS, GLONASS",Maps,,,No,1 Year,Carry In,,Manufacturing Defects,Physical Damage,1 Year,"GSM, WCDMA, 4G LTE",Lithium Polymer,,264 PPI,,,,"18,489",No-discount,"18,489",I kall
N2 3G Calling,N2 3G Calling,Blue,Wi-Fi+3G,Android,6,512 MB,Yes,17.78 cm (7 inch),"Tablet, Charging Adapter, USB Cable, User Manual",1024 x 600$$pixel pixels,2 megapixels,8 GB,1.2 GHz,Dual Sim,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HP
N2 3G Calling,N2 3G Calling,Black,Wi-Fi+3G,Android,6,512 MB,Yes,17.78 cm (7 inch),"Tablet, Charging Adapter, USB Cable, User Manual",1024 x 600$$pixel pixels,2 megapixels,8 GB,1.2 GHz,Dual Sim,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APPLE
Pride,Pride,Black Red,,,,32 MB,,4.57 cm (1.8 inch),,,1.4MP Rear Camera,32 MB,,,1 Year,,,,,,,,,,2200 mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedicated Slot,,,,,,,,,,,,,,,,,,Spinup
S706-SL,S706,Silver,Wi-Fi+4G,Android,v6.0 Marshmallow,1 GB,Yes,17.78 cm (7 inch),"Tablet, Charger, OTG Cable, USB Cable, Earphone, Manual",1024 x 600$$ pixels,0.3 megapixels,8 GB,1.3 GHz,Dual Sim,One Year Domestic Warranty,HD,"GSM, 4G, VoLTE",Cortex A7,Smart IPAD,,Standard Size (without any cut),5 Point Multi Touch,"Accelerometer, Proximity, Light Sensor",8 GB,3000 mAh,Yes,,0.3 megapixels,,Yes,No,No,,,Yes,Yes,Yes,Yes,4,Micro USB,Android,3.5 mm,802.11 b/g/n,Mirror Screen Cast,Screen Cast,LCD,"AVI, WMV, MP4, MKV, RM, RMVB, FLV, MOV, 3GP, etc.",Yes,Yes,Yes,"MP3, AAC, WMA9, FLAC, OGG, MIDI, WAV, Audible Format, etc.",Yes,Google,Google,32 GB,Micro SD,Yes,,One Year Manufacturer Warranty,1 Year,Manufacturing Defect to be covered under warranty,Damages not covered under warranty,,4G VoLTE,Polymer,Capacitive,,,,No,,,,APPLE
V9-3,Kids Android 10,Green,Wi-Fi Only,Android,10 (Go Edition),2 GB,No,17.78 cm (7 inch),"Tablet, Power Adapter (5V/2A), Micro USB Cable, User Manual and Warranty Card",1024 × 600 Pixels,2 Megapixels,32 GB,1.5 GHz,No Sim,1 Year Limited Product Warranty,HD,,Quad Core Processor,,"Built-in Parental Control App, Google Certified Play Store, Soft Cover Silicone case Included",,Yes,,32 GB,2800 mAh,Yes,Yes,0.3 Megapixels,,Yes,,,,,No,No,,,v4.0,"Yes, Micro USB",Android,3.5 mm,802.11 b/g/n,,HD LED Backlit LCD IPS Touch Display,IPS,,,Yes,Yes,,No,,Google Maps,,microSD,Yes,1 Year,Carry In,1 Year,Manufacturing Defects,Physical Damage,1 Year,,Lithium-ion,,,,DDR3,,,,,Lenovo
V9-3,Kids Android 10,Red,Wi-Fi Only,Android,10 (Go Edition),2 GB,No,17.78 cm (7 inch),"Tablet, Power Adapter (5V/2A), Micro USB Cable, User Manual and Warranty Card",1024 × 600 Pixels,2 Megapixels,32 GB,1.5 GHz,No Sim,1 Year Limited Product Warranty,HD,,Quad Core Processor,,"Built-in Parental Control App, Google Certified Play Store, Soft Cover Silicone case Included",,Yes,,32 GB,2800 mAh,Yes,Yes,0.3 Megapixels,,Yes,,,,,No,No,,,v4.0,"Yes, Micro USB",Android,3.5 mm,802.11 b/g/n,,HD LED Backlit LCD IPS Touch Display,IPS,,,Yes,Yes,,No,,Google Maps,,microSD,Yes,1 Year,Carry In,1 Year,Manufacturing Defects,Physical Damage,1 Year,,Lithium-ion,,,,DDR3,,,,,APPLE
V9-3,Kids Android 10,Blue,Wi-Fi Only,Android,10 (Go Edition),2 GB,No,17.78 cm (7 inch),"Tablet, Power Adapter (5V/2A), Micro USB Cable, User Manual and Warranty Card",1024 × 600 Pixels,2 Megapixels,32 GB,1.5 GHz,No Sim,1 Year Limited Product Warranty,HD,,Quad Core Processor,,"Built-in Parental Control App, Google Certified Play Store, Soft Cover Silicone case Included",,Yes,,32 GB,2800 mAh,Yes,Yes,0.3 Megapixels,,Yes,,,,,No,No,,,v4.0,"Yes, Micro USB",Android,3.5 mm,802.11 b/g/n,,HD LED Backlit LCD IPS Touch Display,IPS,,,Yes,Yes,,No,,Google Maps,,microSD,Yes,1 Year,Carry In,1 Year,Manufacturing Defects,Physical Damage,1 Year,,Lithium-ion,,,,DDR3,,,,,Lenovo
V9-3,Kids Android 10,Purple,Wi-Fi Only,Android,10 (Go Edition),2 GB,No,17.78 cm (7 inch),"Tablet, Power Adapter (5V/2A), Micro USB Cable, User Manual and Warranty Card",1024 × 600 Pixels,2 Megapixels,32 GB,1.5 GHz,No Sim,1 Year Limited Product Warranty,HD,,Quad Core Processor,,"Built-in Parental Control App, Google Certified Play Store, Soft Cover Silicone case Included",,Yes,,32 GB,2800 mAh,Yes,Yes,0.3 Megapixels,,Yes,,,,,No,No,,,v4.0,"Yes, Micro USB",Android,3.5 mm,802.11 b/g/n,,HD LED Backlit LCD IPS Touch Display,IPS,,,Yes,Yes,,No,,Google Maps,,microSD,Yes,1 Year,Carry In,1 Year,Manufacturing Defects,Physical Damage,1 Year,,Lithium-ion,,,,DDR3,,,,,OPPO
V9-3,Kids Android 10,Sky Blue,Wi-Fi Only,Android,10 (Go Edition),2 GB,No,17.78 cm (7 inch),"Tablet, Power Adapter (5V/2A), Micro USB Cable, User Manual and Warranty Card",1024 × 600 Pixels,2 Megapixels,32 GB,1.5 GHz,No Sim,1 Year Limited Product Warranty,HD,,Quad Core Processor,,"Built-in Parental Control App, Google Certified Play Store, Soft Cover Silicone case Included",,Yes,,32 GB,2800 mAh,Yes,Yes,0.3 Megapixels,,Yes,,,,,No,No,,,v4.0,"Yes, Micro USB",Android,3.5 mm,802.11 b/g/n,,HD LED Backlit LCD IPS Touch Display,IPS,,,Yes,Yes,,No,,Google Maps,,microSD,Yes,1 Year,Carry In,1 Year,Manufacturing Defects,Physical Damage,1 Year,,Lithium-ion,,,,DDR3,,,,,APPLE
